,date,pending_stat,total_requests,pct_pending
0,2017-01-31,2,93,2.1505376344086025
1,2017-02-28,4,127,3.149606299212598
2,2017-03-31,6,222,2.7027027027027026
3,2017-04-30,5,102,4.901960784313726
4,2017-05-31,3,139,2.158273381294964
5,2017-06-30,7,228,3.070175438596491
6,2017-07-31,8,228,3.508771929824561
7,2017-08-31,7,208,3.3653846153846154
8,2017-09-30,18,408,4.411764705882353
9,2017-10-31,8,290,2.7586206896551726
10,2017-11-30,3,205,1.4634146341463417
11,2017-12-31,11,163,6.748466257668712
12,2018-01-31,13,311,4.180064308681672
13,2018-02-28,19,397,4.785894206549118
14,2018-03-31,16,419,3.8186157517899764
15,2018-04-30,7,351,1.9943019943019942
16,2018-05-31,12,377,3.183023872679045
17,2018-06-30,13,358,3.6312849162011176
18,2018-07-31,27,682,3.9589442815249267
19,2018-08-31,19,724,2.6243093922651934
20,2018-09-30,35,944,3.7076271186440675
21,2018-10-31,44,905,4.861878453038674
22,2018-11-30,28,582,4.810996563573884
23,2018-12-31,12,434,2.7649769585253456
24,2019-01-31,29,690,4.202898550724638
25,2019-02-28,44,923,4.7670639219935
26,2019-03-31,49,1073,4.566635601118359
27,2019-04-30,21,630,3.3333333333333335
28,2019-05-31,29,778,3.7275064267352187
29,2019-06-30,27,705,3.829787234042553
30,2019-07-31,31,880,3.5227272727272725
31,2019-08-31,48,1348,3.5608308605341246
32,2019-09-30,105,1876,5.597014925373134
33,2019-10-31,117,1987,5.888273779567187
34,2019-11-30,97,1749,5.546026300743282
35,2019-12-31,33,850,3.882352941176471
36,2020-01-31,99,1600,6.1875
37,2020-02-29,170,1973,8.616320324379117
38,2020-03-31,170,1531,11.103853690398433
39,2020-04-30,143,1619,8.832612723903646
40,2020-05-31,141,1472,9.578804347826086
41,2020-06-30,393,1826,21.522453450164296
42,2020-07-31,1340,3076,43.5630689206762
43,2020-08-31,402,2149,18.70637505816659
44,2020-09-30,201,2406,8.354114713216958
45,2020-10-31,250,2450,10.204081632653061
46,2020-11-30,170,2499,6.802721088435375
47,2020-12-31,154,2987,5.155674589889521
48,2021-01-31,192,3676,5.223068552774755
49,2021-02-28,224,2707,8.274842999630588
50,2021-03-31,201,2750,7.3090909090909095
51,2021-04-30,126,2595,4.855491329479769
52,2021-05-31,136,2590,5.250965250965251
53,2021-06-30,138,2551,5.409643277146217
54,2021-07-31,132,2656,4.969879518072289
55,2021-08-31,272,3202,8.4946908182386
56,2021-09-30,651,4917,13.239780353874314
57,2021-10-31,1077,5481,19.64969896004379
58,2021-11-30,396,5349,7.403252944475602
59,2021-12-31,636,4004,15.884115884115884
60,2022-01-31,910,4514,20.159503766061142
61,2022-02-28,1765,6218,28.38533290447089
62,2022-03-31,2277,7837,29.054485134617842
63,2022-04-30,1954,6326,30.88839709136895
64,2022-05-31,1242,4180,29.71291866028708
65,2022-06-30,1285,5050,25.445544554455445
66,2022-07-31,836,4723,17.700614016514926
67,2022-08-31,1851,6615,27.981859410430836
68,2022-09-30,2055,6349,32.367301937312966
69,2022-10-31,2869,7785,36.8529222864483
70,2022-11-30,2943,7758,37.93503480278422
71,2022-12-31,1552,4953,31.334544720371493
72,2023-01-31,476,1213,39.241549876339654
